"id","full_name","age","gender","device_type","ad_position","browsing_history","time_of_day","click"
"670","User670","22","","Desktop","Top","Shopping","Afternoon","1"
"3044","User3044","","Male","Desktop","Top","","","1"
"5418","User5418","34","Male","","","Entertainment","Evening","1"
"7808","User7808","26","Female","Desktop","Top","","","1"
"5065","User5065","40","Male","Mobile","Side","","Evening","0"
"4509","User4509","","","","Bottom","Education","Afternoon","1"
"2595","User2595","","","","Bottom","","Morning","1"
"7466","User7466","47","","Mobile","Bottom","","Afternoon","1"
"2023","User2023","19","","Desktop","","","","1"
"973","User973","","","Mobile","","","Morning","1"
"7529","User7529","","","","Top","Entertainment","Afternoon","0"
"8127","User8127","","Male","Tablet","Bottom","","","1"
"188","User188","56","Female","Tablet","Bottom","News","Morning","1"
"2124","User2124","","Male","Desktop","Top","","Evening","1"
"7335","User7335","24","","Tablet","Side","Entertainment","Night","0"
"5569","User5569","","","Mobile","Bottom","","Afternoon","1"
"2272","User2272","52","","Tablet","Bottom","News","Morning","1"
"2722","User2722","39","","Desktop","Top","","","1"
"316","User316","42","","Desktop","Top","","Night","1"
"9789","User9789","36","","Tablet","","","","1"
"4890","User4890","43","Male","Tablet","Bottom","Education","Afternoon","1"
"4994","User4994","62","","Mobile","","","Night","0"
"5055","User5055","45","Male","","","Education","Morning","1"
"6724","User6724","37","Female","","Top","Entertainment","Evening","1"
"4945","User4945","31","","Tablet","Top","","Morning","1"
"1729","User1729","26","Female","Mobile","Top","","Afternoon","1"
"6862","User6862","","Male","Tablet","Side","","","1"
"4985","User4985","37","Male","Mobile","Top","News","Evening","0"
"7361","User7361","","","Mobile","Top","Entertainment","Afternoon","0"
"1524","User1524","24","","Mobile","Bottom","","Night","1"
"119","User119","59","","Tablet","Top","","","1"
"1171","User1171","","","Mobile","","","Night","1"
"1612","User1612","40","","Mobile","","News","","1"
"9586","User9586","","","Desktop","","Shopping","Afternoon","0"
"7661","User7661","48","","Mobile","Side","News","Night","1"
"4228","User4228","","","Desktop","Side","","Morning","1"
"5574","User5574","52","Female","Desktop","Bottom","","Afternoon","1"
"120","User120","","","Desktop","Side","","Night","0"
"6143","User6143","","","","Bottom","","Afternoon","1"
"301","User301","","Male","Tablet","Side","Social Media","","1"
"5301","User5301","","Male","","Side","Social Media","","1"
"5439","User5439","38","","","","Social Media","Afternoon","1"
"9806","User9806","58","Male","Tablet","Bottom","","","1"
"9888","User9888","49","Male","Mobile","Top","News","Morning","1"
"4525","User4525","","","Mobile","Top","Entertainment","","0"
"6153","User6153","30","","","Side","Entertainment","Night","1"
"7498","User7498","","Male","","Side","Shopping","Afternoon","1"
"9736","User9736","46","","Desktop","","Education","Evening","1"
"2244","User2244","42","","Mobile","Top","","Evening","0"
"4952","User4952","41","Female","","","","Night","0"
"813","User813","","","Tablet","Top","Education","Morning","1"
"4957","User4957","58","Male","","Bottom","Social Media","Evening","1"
"9431","User9431","","","Mobile","Top","Entertainment","Afternoon","1"
"6935","User6935","","Male","Mobile","","","Morning","0"
"2431","User2431","54","Male","Desktop","Top","","Night","1"
"3164","User3164","","Female","Desktop","","","Evening","1"
"1524","User1524","24","","Mobile","Bottom","","Night","1"
"7674","User7674","","","","Bottom","News","Afternoon","1"
"6751","User6751","","Female","Tablet","","","Evening","0"
"9996","User9996","48","","Desktop","Top","Shopping","Evening","0"
"6315","User6315","","","Desktop","Top","","Afternoon","1"
"7065","User7065","57","","Desktop","","","Morning","1"
"9412","User9412","","","","Bottom","Social Media","Morning","1"
"3458","User3458","","","Tablet","","","","0"
"6121","User6121","","","Desktop","Top","","Afternoon","0"
"487","User487","28","","Mobile","Side","","Afternoon","1"
"3266","User3266","","Male","Tablet","Top","News","Afternoon","1"
"5574","User5574","52","Female","","Bottom","Shopping","Afternoon","1"
"6553","User6553","","","Desktop","Bottom","Education","Morning","1"
"8996","User8996","22","Female","Desktop","","Entertainment","Evening","0"
"503","User503","43","","Desktop","","Social Media","Morning","1"
"4581","User4581","51","","","Top","","","0"
"3266","User3266","","Male","Tablet","Top","News","Afternoon","1"
"8956","User8956","","Male","Tablet","","News","Morning","1"
"9990","User9990","","Male","Desktop","Side","","Night","1"
"7426","User7426","","","Mobile","Side","","Night","0"
"6100","User6100","","","Desktop","","Education","","1"
"3543","User3543","","","","Top","","Night","1"
"7866","User7866","","","Mobile","Top","Social Media","Morning","1"
"63","User63","","Female","Tablet","Top","Social Media","","0"
"5340","User5340","19","","Mobile","Side","","Night","0"
"2907","User2907","","","Mobile","Side","News","","0"
"7545","User7545","25","Male","Tablet","","News","Evening","0"
"3746","User3746","","","","","","Morning","1"
"6906","User6906","","","Mobile","Top","","Morning","1"
"1665","User1665","19","","Mobile","Bottom","","Afternoon","0"
"1762","User1762","41","Male","Desktop","","Entertainment","Afternoon","1"
"8201","User8201","59","Female","Desktop","Bottom","Social Media","Morning","0"
"4086","User4086","","Female","Desktop","Top","Entertainment","Morning","1"
"9896","User9896","45","Female","Desktop","Side","","Afternoon","0"
"1503","User1503","19","","","Side","","","1"
"571","User571","","Male","Tablet","Bottom","Social Media","Afternoon","0"
"7591","User7591","","Male","Desktop","Top","","Night","0"
"5531","User5531","34","Male","Desktop","Top","News","","1"
"5419","User5419","","Male","Tablet","","","Morning","1"
"9921","User9921","","Female","Desktop","Side","","Night","0"
"5338","User5338","51","Male","Mobile","","Social Media","Morning","1"
"5821","User5821","31","Female","Desktop","","Education","","0"
"4890","User4890","43","Male","","Bottom","Education","Afternoon","1"
"9992","User9992","","Male","Desktop","Side","Shopping","Evening","1"
"4777","User4777","","Female","Tablet","Side","","Morning","0"
"6683","User6683","","","Tablet","","","Night","1"
"6880","User6880","","Female","Mobile","Side","News","Night","1"
"2021","User2021","41","","Mobile","","","Night","1"
"5986","User5986","32","","Desktop","Side","","","0"
"5484","User5484","64","Female","Mobile","Side","Education","Morning","0"
"8948","User8948","25","","Mobile","Bottom","Education","","1"
"3109","User3109","","","","Side","Entertainment","","1"
"3042","User3042","","","","Side","","Afternoon","1"
"3225","User3225","23","","Tablet","","Entertainment","","1"
"3062","User3062","","Male","Desktop","Bottom","Entertainment","","1"
"6060","User6060","","","Desktop","Top","News","Morning","0"
"4697","User4697","","","Mobile","Side","Entertainment","Afternoon","1"
"6849","User6849","39","","Mobile","","","Night","1"
"1908","User1908","26","","Mobile","","","","1"
"5703","User5703","55","Female","Tablet","Side","Shopping","Night","0"
"4856","User4856","21","","Desktop","Top","","Evening","0"
"1197","User1197","","Male","Mobile","Top","Social Media","Night","1"
"9307","User9307","","","","","Social Media","Evening","0"
"8683","User8683","26","","Desktop","Side","","","0"
"6315","User6315","","","Desktop","Top","","Afternoon","1"
"8010","User8010","24","","Desktop","Top","","","0"
"2364","User2364","54","Female","","Side","","Afternoon","0"
"4507","User4507","42","","","Bottom","","","0"
"1549","User1549","","","Desktop","Top","","Afternoon","1"
"3577","User3577","58","","Desktop","Side","Social Media","Afternoon","0"
"5845","User5845","","","Tablet","","Shopping","Morning","0"
"5418","User5418","","Male","","Top","","","1"
"255","User255","31","","","","Entertainment","Night","1"
"4621","User4621","20","","Desktop","","","","1"
"1704","User1704","61","Female","","","","","1"
"118","User118","43","Female","Tablet","Bottom","Social Media","Night","0"
"8957","User8957","","Female","Mobile","Top","","Morning","1"
"3314","User3314","35","","Tablet","Top","News","Evening","0"
"5995","User5995","","Male","","Top","","Morning","0"
